Code,Name,Day_low,Day_high,Price,Previous_price,Volume
EGAD,"Eaagads Ltd
",25.75,25.75,25.75,25.50,400
KUKZ,"Kakuzi Plc
",330.00,330.00,330.00,330.00,-
KAPC,"Kapchorua Tea Kenya Plc
",175.00,180.00,180.00,175.00,"1,100"
LIMT,"Limuru Tea Plc
","1,085.00","1,085.00","1,085.00","1,085.00",-
SASN,"Sasini Plc
",16.45,16.45,16.45,16.85,"1,300"
WTK,"Williamson Tea Kenya Plc
",351.00,351.00,351.00,351.00,-
CGEN,"Car and General (K) Ltd
",39.50,39.50,39.50,39.50,-
ABSA,"ABSA Bank Kenya Plc
",12.25,12.90,12.60,12.65,"77,700"
COOP,"Co-operative Bank of Kenya Ltd
",16.70,17.00,16.90,17.05,"59,900"
DTK,"Diamond Trust Bank Kenya Ltd
",192.00,192.00,192.00,192.00,-
EQTY,"Equity Group Holdings Plc
",41.00,41.75,41.50,41.25,"578,400"
HFCK,"HF Group Ltd
",20.50,21.00,21.00,21.00,"88,300"
IMH,"I & M Holdings Plc
",100.00,100.00,100.00,101.00,"2,100"
KCB,"KCB Group Plc
",41.50,42.00,42.00,42.00,"1,133,900"
NBK,"National Bank of Kenya Ltd
",14.80,15.00,14.95,15.00,"15,400"
NCBA,"NCBA Group Plc
",38.50,39.50,39.25,38.25,"30,600"
SBIC,"Stanbic Holdings Plc
",86.00,87.50,87.50,89.00,"5,200"
SCBK,"Standard Chartered Bank Kenya Ltd
",201.00,204.00,204.00,202.00,"4,500"
EVRD,"Eveready East Africa Ltd
",2.60,2.95,2.80,2.90,"8,700"
XPRS,"Express Kenya Plc
",4.00,4.00,4.00,4.00,-
KQ,"Kenya Airways Plc
",5.30,5.40,5.35,5.40,"151,500"
LKL,"Longhorn Publishers Plc
",4.70,5.20,4.75,5.25,"68,300"
NMG,"Nation Media Group Plc
",135.00,138.00,138.00,138.00,"13,000"
SMER,"Sameer Africa Plc
",3.55,3.55,3.55,3.60,"5,000"
SGL,"Standard Group Plc
",28.00,28.00,28.00,28.00,-
TPSE,"TPS Eastern Africa (Serena) Ltd
",28.00,28.00,28.00,28.25,"1,000"
UCHM,"Uchumi Supermarket Plc
",9.00,9.00,9.00,9.45,"3,200"
SCAN,"WPP ScanGroup Plc
",25.00,25.00,25.00,25.00,"5,400"
ARM,"ARM Cement Plc
",36.25,37.50,37.00,37.25,"6,700"
BAMB,"Bamburi Cement Ltd
",157.00,157.00,157.00,160.00,300
CRWN,"Crown Paints Kenya Plc
",61.50,61.50,61.50,61.00,500
CABL,"East African Cables Plc
",10.30,10.30,10.30,10.40,200
PORT,"East African Portland Cement Ltd
",45.00,45.00,45.00,45.00,-
KENO,"KenolKobil Ltd
",8.65,9.10,8.95,8.90,"577,100"
KEGN,"Kenya Electricity Generating Company Plc
",8.55,8.65,8.65,8.70,"98,600"
KPLC-P4,"KPLC-P4
",5.50,5.50,5.50,5.50,-
KPLC-P7,"KPLC-P7
",5.50,5.50,5.50,5.50,-
KPLC,"Kenya Power and Lighting Company Plc
",15.80,16.00,15.90,15.80,"213,800"
TOTL,"TotalEnergies Marketing Kenya Plc
",19.60,19.60,19.60,19.65,"2,000"
UMME,"Umeme Ltd
",17.00,17.00,17.00,17.00,-
BRIT,"Britam Holdings Plc
",16.10,17.00,16.55,16.30,"395,500"
CIC,"CIC Insurance Group Ltd
",6.25,6.90,6.50,6.45,"63,200"
JUB,"Jubilee Holdings Ltd
",410.00,410.00,410.00,410.00,-
KNRE,"Kenya Re-Insurance Corporation Ltd
",20.00,21.00,21.00,21.00,"382,000"
LBTY,"Liberty Kenya Holdings Ltd
",18.00,21.00,20.75,19.65,"23,600"
SLAM,"Sanlam Kenya Plc
",65.00,65.00,65.00,65.00,600
CTUM,"Centum Investment Company Plc
",46.00,47.50,46.50,46.50,"66,200"
HAFR,"Home Afrika Ltd
",1.50,1.60,1.60,1.60,"41,300"
KURV,"Kurwitu Ventures Ltd
","1,500.00","1,500.00","1,500.00","1,500.00",-
OCH,"Olympia Capital Holdings Ltd
",4.50,4.75,4.60,4.75,700
TCL,"Trans-Century Plc
",14.00,14.00,14.00,14.00,"4,500"
NSE,"Nairobi Securities Exchange Plc
",22.25,24.00,24.00,24.00,"706,900"
AMAC,"Africa Mega Agricorp Plc
",98.00,98.00,98.00,98.00,-
BOC,"BOC Kenya Plc
",115.00,115.00,115.00,115.00,300
BAT,"British American Tobacco Kenya Plc
",768.00,769.00,769.00,765.00,"1,200"
CARB,"Carbacid Investments Plc
",14.00,15.00,14.75,14.25,"65,300"
EABL,"East African Breweries Ltd
",270.00,275.00,271.00,271.00,"23,400"
FTGH,"Flame Tree Group Holdings Ltd
",6.00,6.30,6.10,6.15,"14,600"
MSC,"Mumias Sugar Company Ltd
",1.60,1.75,1.65,1.70,"1,109,600"
UNGA,"Unga Group Ltd
",37.00,37.00,37.00,36.00,"10,600"
SCOM,"Safaricom Plc
",14.50,14.95,14.55,15.00,"4,248,500"
^N20I,"NSE 20-Share Index
","3,936.60","3,936.60","3,936.60","3,952.97",-
^N25I,"NSE 25-Share Index
","4,046.60","4,046.60","4,046.60","4,064.15",-
^NASI,"NSE All-Share Index
",138.28,138.28,138.28,139.54,-
