Code,Name,Day_low,Day_high,Price,Previous_price,Volume
EGAD,"Eaagads Ltd
",12.45,12.45,12.45,12.45,-
KUKZ,"Kakuzi Plc
",411.00,411.00,411.00,411.00,-
KAPC,"Kapchorua Tea Kenya Plc
",215.00,215.00,215.00,215.00,-
LIMT,"Limuru Tea Plc
",320.00,320.00,320.00,320.00,-
SASN,"Sasini Plc
",15.30,15.65,15.50,15.65,300
WTK,"Williamson Tea Kenya Plc
",220.00,220.00,220.00,215.00,600
CGEN,"Car and General (K) Ltd
",20.30,21.90,20.55,20.35,"1,200"
ABSA,"ABSA Bank Kenya Plc
",17.10,17.80,17.30,17.50,"112,100"
BKG,"BK Group Plc
",33.00,33.00,33.00,32.00,100
COOP,"Co-operative Bank of Kenya Ltd
",15.80,16.00,15.95,16.00,"321,400"
DTK,"Diamond Trust Bank Kenya Ltd
",72.00,79.00,73.50,72.00,"15,700"
EQTY,"Equity Group Holdings Plc
",44.40,47.00,44.60,44.10,"97,400"
HFCK,"HF Group Ltd
",6.02,6.20,6.20,6.42,"161,500"
IMH,"I & M Holdings Plc
",29.50,31.60,29.95,32.30,"84,600"
KCB,"KCB Group Plc
",38.10,38.95,38.25,38.30,"1,370,900"
NBK,"National Bank of Kenya Ltd
",4.12,4.12,4.12,4.12,-
NCBA,"NCBA Group Plc
",53.00,54.00,54.00,52.50,"32,600"
SBIC,"Stanbic Holdings Plc
",172.50,175.00,173.25,175.00,"1,600"
SCBK,"Standard Chartered Bank Kenya Ltd
",300.00,303.00,300.25,300.00,"70,500"
DCON,"Deacons (East Africa) Plc
",0.45,0.45,0.45,0.45,-
EVRD,"Eveready East Africa Ltd
",1.10,1.10,1.10,1.09,"5,400"
XPRS,"Express Kenya Plc
",3.20,3.20,3.20,3.20,"3,300"
HBE,"Homeboyz Entertainment Plc
",4.66,4.66,4.66,4.66,-
KQ,"Kenya Airways Plc
",4.20,4.50,4.31,4.35,"79,600"
LKL,"Longhorn Publishers Plc
",2.70,2.76,2.74,2.51,"1,900"
NBV,"Nairobi Business Ventures Ltd
",1.99,1.99,1.99,2.03,"4,000"
NMG,"Nation Media Group Plc
",12.80,13.00,13.00,13.05,"7,400"
SMER,"Sameer Africa Plc
",3.10,3.64,3.43,3.32,"3,600"
SGL,"Standard Group Plc
",5.30,5.90,5.72,5.62,400
TPSE,"TPS Eastern Africa (Serena) Ltd
",15.00,15.00,15.00,14.45,200
UCHM,"Uchumi Supermarket Plc
",0.37,0.38,0.37,0.38,"45,700"
SCAN,"WPP ScanGroup Plc
",2.90,3.30,3.03,3.08,"19,500"
ARM,"ARM Cement Plc
",5.55,5.55,5.55,5.55,-
BAMB,"Bamburi Cement Ltd
",47.20,47.20,47.20,47.20,-
CRWN,"Crown Paints Kenya Plc
",34.00,35.00,34.15,34.00,700
CABL,"East African Cables Plc
",2.26,2.27,2.26,2.25,"5,500"
