Code,Name,Day_low,Day_high,Price,Previous_price,Volume
EGAD,"Eaagads Ltd
",11.50,11.50,11.50,12.65,100
KUKZ,"Kakuzi Plc
",440.00,440.00,440.00,411.00,200
KAPC,"Kapchorua Tea Kenya Plc
",225.00,225.00,225.00,225.00,-
LIMT,"Limuru Tea Plc
",320.00,320.00,320.00,320.00,-
SASN,"Sasini Plc
",15.10,15.65,15.50,15.20,"2,900"
WTK,"Williamson Tea Kenya Plc
",225.00,225.00,225.00,217.00,200
CGEN,"Car and General (K) Ltd
",22.00,22.00,22.00,22.00,-
ABSA,"ABSA Bank Kenya Plc
",16.60,17.15,16.85,17.00,"105,600"
BKG,"BK Group Plc
",32.00,33.50,32.70,33.20,"9,000"
COOP,"Co-operative Bank of Kenya Ltd
",15.00,16.00,15.65,15.35,"179,800"
DTK,"Diamond Trust Bank Kenya Ltd
",67.50,73.00,69.50,67.75,"127,600"
EQTY,"Equity Group Holdings Plc
",43.00,45.00,44.10,42.55,"1,826,000"
HFCK,"HF Group Ltd
",6.00,6.90,6.52,6.34,"49,700"
IMH,"I & M Holdings Plc
",30.50,33.00,32.40,30.05,"34,500"
KCB,"KCB Group Plc
",36.50,38.25,37.55,35.30,"799,500"
NBK,"National Bank of Kenya Ltd
",4.12,4.12,4.12,4.12,-
NCBA,"NCBA Group Plc
",53.00,54.00,53.25,51.50,"27,200"
SBIC,"Stanbic Holdings Plc
",163.00,166.00,165.00,163.50,"8,700"
SCBK,"Standard Chartered Bank Kenya Ltd
",294.50,300.00,296.50,294.50,"22,600"
DCON,"Deacons (East Africa) Plc
",0.45,0.45,0.45,0.45,-
EVRD,"Eveready East Africa Ltd
",1.10,1.13,1.11,1.13,"4,100"
XPRS,"Express Kenya Plc
",3.80,3.80,3.80,3.50,200
HBE,"Homeboyz Entertainment Plc
",4.66,4.66,4.66,4.66,-
KQ,"Kenya Airways Plc
",4.70,4.88,4.75,4.85,"26,100"
LKL,"Longhorn Publishers Plc
",2.78,2.78,2.78,2.78,"2,100"
NBV,"Nairobi Business Ventures Ltd
",1.89,1.95,1.90,1.90,"13,600"
NMG,"Nation Media Group Plc
",13.20,13.40,13.30,13.80,500
SMER,"Sameer Africa Plc
",3.15,3.40,3.17,3.31,"10,200"
SGL,"Standard Group Plc
",5.90,6.08,5.92,6.10,"2,900"
TPSE,"TPS Eastern Africa (Serena) Ltd
",14.85,14.85,14.85,14.95,800
