Code,Name,Day_low,Day_high,Price,Previous_price,Volume
EGAD,"Eaagads Ltd
",15.00,15.00,15.00,15.00,600
KUKZ,"Kakuzi Plc
",355.00,355.00,355.00,355.00,-
KAPC,"Kapchorua Tea Kenya Plc
",82.00,82.00,82.00,82.00,-
LIMT,"Limuru Tea Plc
",360.00,360.00,360.00,360.00,-
SASN,"Sasini Plc
",17.85,17.85,17.85,17.85,-
WTK,"Williamson Tea Kenya Plc
",145.00,145.00,145.00,145.00,"4,700"
CGEN,"Car and General (K) Ltd
",21.60,21.60,21.60,21.60,-
ABSA,"ABSA Bank Kenya Plc
",8.60,8.80,8.64,8.68,"63,600"
BKG,"BK Group Plc
",25.00,25.00,25.00,25.00,-
COOP,"Co-operative Bank of Kenya Ltd
",11.65,12.00,11.90,11.90,"920,300"
DTK,"Diamond Trust Bank Kenya Ltd
",67.50,68.50,68.25,68.50,"1,000"
EQTY,"Equity Group Holdings Plc
",39.10,40.00,39.15,39.10,"801,400"
HFCK,"HF Group Ltd
",3.80,4.00,3.96,3.97,"26,100"
IMH,"I & M Holdings Plc
",47.00,49.45,47.50,45.35,"68,800"
KCB,"KCB Group Plc
",39.50,41.00,39.70,41.80,"1,053,400"
NBK,"National Bank of Kenya Ltd
",4.12,4.12,4.12,4.12,-
NCBA,"NCBA Group Plc
",24.00,25.00,24.85,25.00,"68,800"
SBIC,"Stanbic Holdings Plc
",76.00,77.50,76.00,83.00,"10,300"
SCBK,"Standard Chartered Bank Kenya Ltd
",140.75,141.00,141.00,141.00,"64,700"
DCON,"Deacons (East Africa) Plc
",0.45,0.45,0.45,0.45,-
EVRD,"Eveready East Africa Ltd
",1.07,1.08,1.08,1.10,"1,600"
XPRS,"Express Kenya Plc
",4.28,4.28,4.28,4.14,"1,000"
HBE,"Homeboyz Entertainment Plc
",4.66,4.66,4.66,4.66,-
KQ,"Kenya Airways Plc
",3.83,3.83,3.83,3.83,-
LKL,"Longhorn Publishers Plc
",4.30,4.65,4.46,4.28,900
NBV,"Nairobi Business Ventures Ltd
",4.60,5.10,4.92,4.67,"43,200"
NMG,"Nation Media Group Plc
",17.00,17.00,17.00,17.00,"18,200"
SMER,"Sameer Africa Plc
",3.64,3.85,3.75,3.64,200
SGL,"Standard Group Plc
",18.00,19.00,18.05,19.00,"2,100"
TPSE,"TPS Eastern Africa (Serena) Ltd
",16.80,16.80,16.80,16.80,-
